Commit Message,Author,PR Link,Team,Release Label,Commit Hash
fix: decimal places displayed on token value on permit pages (#25410),Jyoti Puri,https://github.com/MetaMask/metamask-extension/pull/25410,Other/Unknown,release-12.2.0,6557b59911
feat: added BTC variant to ramps-card and illustration image (#25615),Kate Johnson,https://github.com/MetaMask/metamask-extension/pull/25615,Other/Unknown,release-12.2.0,05904ca445
fix: Remove unused fixtures and fix test name in smart swaps disabled spec (#25616),Mike B,https://github.com/MetaMask/metamask-extension/pull/25616,Other/Unknown,release-12.2.0,95407cc9e6
fix: Fix issue 22837 about unknown error during ledger pair (#25462),Xiaoming Wang,https://github.com/MetaMask/metamask-extension/pull/25462,Other/Unknown,release-12.2.0,7d94797c50
test: add e2e to swap with snap account (#25558),Mike B,https://github.com/MetaMask/metamask-extension/pull/25558,Other/Unknown,release-12.2.0,c6419813d2
fix: account missing in connection page (#25500),Monte Lai,https://github.com/MetaMask/metamask-extension/pull/25500,Other/Unknown,release-12.2.0,d721e7f7b1
refactor: Replace deprecated mixins with Text component in selected-account.component.js (#25262),Devin,https://github.com/MetaMask/metamask-extension/pull/25262,Other/Unknown,,198bedd02c
refactor: Replace deprecated mixins with Text component in unlock-page.component.js (#25227),Devin,https://github.com/MetaMask/metamask-extension/pull/25227,Other/Unknown,,d9ce2dd04b
chore: Create a story for RestoreVaultPage component (#25284),Devin,https://github.com/MetaMask/metamask-extension/pull/25284,Other/Unknown,,6aac1593c5
fix: tweak spacing in send asset picker (#25576),Bilal,https://github.com/MetaMask/metamask-extension/pull/25576,Other/Unknown,release-12.2.0,03b5d5ef76
fix(snaps): Fix alignment of install origin is `snap-authorship-expanded` (#25583),Guillaume Roux,https://github.com/MetaMask/metamask-extension/pull/25583,Other/Unknown,release-12.2.0,fe12ae48f5
feat: Remove blockaid migration BannerAlert (#25556),Pedro Figueiredo,https://github.com/MetaMask/metamask-extension/pull/25556,Other/Unknown,release-12.2.0,699ddccc76
chore(deps): bump assets controller to v34.0.0 (#25540),Monte Lai,https://github.com/MetaMask/metamask-extension/pull/25540,Other/Unknown,release-12.2.0,f353f0c316
fix: add eth_signTypedData and eth_signTypedData_v3 to `methodsRequiringNetworkSwitch` (#25562),Alex Donesky,https://github.com/MetaMask/metamask-extension/pull/25562,Other/Unknown,release-12.0.0,4a9c48084e
fix: fine-tune for `Delineator` component styles (#25760),OGPoyraz,https://github.com/MetaMask/metamask-extension/pull/25760,team-confirmations,release-12.2.0,b9403b8b1e
feat: add `Delineator` component (#25610),OGPoyraz,https://github.com/MetaMask/metamask-extension/pull/25610,team-confirmations,release-12.2.0,5f75083adc
fix: flaky test `Test Snap Metrics test snap update rejected metric` (#25744),seaona,https://github.com/MetaMask/metamask-extension/pull/25744,team-confirmations,release-12.2.0,6e1ed63316
fix: revert "test: add e2e tests for navigation (#25652)" (#25725),seaona,https://github.com/MetaMask/metamask-extension/pull/25652,team-confirmations,release-12.2.0,fb5a2185ce
fix: flaky test `Create token approve token and approve token without gas approves an already created token and displays the token approval data` (#25706),seaona,https://github.com/MetaMask/metamask-extension/pull/25706,team-confirmations,release-12.2.0,db3c517b1f
fix: flaky test `Request-queue UI changes handles three confirmations on three confirmations concurrently` (#25675),seaona,https://github.com/MetaMask/metamask-extension/pull/25675,team-confirmations,release-12.2.0,52f6ad36ce
fix: flaky test `Test Snap Get Locale test snap_getLocale functionality` (#25648),seaona,https://github.com/MetaMask/metamask-extension/pull/25648,team-confirmations,release-12.2.0,e0db3ef915
chore: exclude running git diff job for the e2e quality gate in `develop` `master` and release branches (#25605),seaona,https://github.com/MetaMask/metamask-extension/pull/25605,team-confirmations,release-12.2.0,4886a3ff5c
fix: page object selector not found (#25624),seaona,https://github.com/MetaMask/metamask-extension/pull/25624,team-confirmations,release-12.2.0,1602a35c9f
fix: failingt e2e `Click bridge button from asset page @no-mmi loads portfolio tab when flag is turned off` (#25607),seaona,https://github.com/MetaMask/metamask-extension/pull/25607,team-confirmations,release-12.2.0,df81e73bfc
chore: adds quality gate for rerunning e2e spec files that are new or have been modified (#24556),seaona,https://github.com/MetaMask/metamask-extension/pull/24556,team-confirmations,release-12.2.0,3ea381d269
fix: use LAVAMOAT_UPDATE_TOKEN in attributions workflow (#25731),cryptodev-2s,https://github.com/MetaMask/metamask-extension/pull/25731,team-wallet-framework,release-12.2.0,80f434626c
chore: restore bot workflow to update attributions (#25211),cryptodev-2s,https://github.com/MetaMask/metamask-extension/pull/25211,team-wallet-framework,release-12.2.0,bfaf53592a
fix: version v12.1.0 cherry pick 90d89 (#25701),salimtb,https://github.com/MetaMask/metamask-extension/pull/25701,team-assets,,43cede87dc
fix: set network client id for domain (#25646),salimtb,https://github.com/MetaMask/metamask-extension/pull/25646,team-assets,release-12.2.0,a1285f15d5
fix: asset picker bug (#25601),salimtb,https://github.com/MetaMask/metamask-extension/pull/25601,team-assets,release-12.2.0,92ea1c9e39
chore: Update @metamask/smart-transactions-controller from 10.1.2 to 10.1.6 (#25611),Daniel,https://github.com/MetaMask/metamask-extension/pull/25611,team-swaps,release-12.2.0,548b54aae9
chore: [Delivery] Update author mapping list for PR (#25606),chloeYue,https://github.com/MetaMask/metamask-extension/pull/25606,team-extension-platform,release-12.2.0,03fc8a9d0d
test: Initial PR for integrating the Page Object Model (POM) into e2e test suite (#25373),chloeYue,https://github.com/MetaMask/metamask-extension/pull/25373,team-extension-platform,release-12.2.0,b893161ad7
chore: add bridge controller store and api utils (#25044),micaelae,https://github.com/MetaMask/metamask-extension/pull/25044,team-bridge,release-12.2.0,58082f542b
